Inicio programa de registro
[ 051612 ] procesando parte.051612.01
[ 051612 ] procesando parte.051612.02
[ 051612 ] procesando parte.051612.03
[ 051612 ] procesando parte.051612.04
[ 051612 ] procesando parte.051612.05
[ 051612 ] procesando parte.051612.06
[ 051612 ] procesando parte.051612.07
[ 051612 ] procesando parte.051612.08
[ 051612 ] procesando parte.051612.09
[ 051612 ] procesando parte.051612.10
[ 051612 ] procesando parte.051612.100
[ 051612 ] procesando parte.051612.1000
[ 051612 ] procesando parte.051612.10000
[ 051612 ] procesando parte.051612.10001
[ 051612 ] procesando parte.051612.10002
[ 051612 ] procesando parte.051612.10003
[ 051612 ] procesando parte.051612.10004
[ 051612 ] procesando parte.051612.10005
[ 051612 ] procesando parte.051612.10006
[ 051612 ] procesando parte.051612.10007
[ 051612 ] procesando parte.051612.10008
[ 051612 ] procesando parte.051612.10009
[ 051612 ] procesando parte.051612.1001
[ 051612 ] procesando parte.051612.10010
[ 051612 ] procesando parte.051612.10011
[ 051612 ] procesando parte.051612.10012
[ 051612 ] procesando parte.051612.10013
[ 051612 ] procesando parte.051612.10014
[ 051612 ] procesando parte.051612.10015
[ 051612 ] procesando parte.051612.10016
[ 051612 ] procesando parte.051612.10017
[ 051612 ] procesando parte.051612.10018
[ 051612 ] procesando parte.051612.10019
[ 051612 ] procesando parte.051612.1002
[ 051612 ] procesando parte.051612.10020
[ 051612 ] procesando parte.051612.10021
[ 051612 ] procesando parte.051612.10022
[ 051612 ] procesando parte.051612.10023
[ 051612 ] procesando parte.051612.10024
[ 051612 ] procesando parte.051612.10025
[ 051612 ] procesando parte.051612.10026
[ 051612 ] procesando parte.051612.10027
[ 051612 ] procesando parte.051612.10028
[ 051612 ] procesando parte.051612.10029
[ 051612 ] procesando parte.051612.1003
[ 051612 ] procesando parte.051612.10030
[ 051612 ] procesando parte.051612.10031
[ 051612 ] procesando parte.051612.10032
[ 051612 ] procesando parte.051612.10033
[ 051612 ] procesando parte.051612.10034
[ 051612 ] procesando parte.051612.10035
[ 051612 ] procesando parte.051612.10036
[ 051612 ] procesando parte.051612.10037
[ 051612 ] procesando parte.051612.10038
[ 051612 ] procesando parte.051612.10039
[ 051612 ] procesando parte.051612.1004
[ 051612 ] procesando parte.051612.10040
[ 051612 ] procesando parte.051612.10041
[ 051612 ] procesando parte.051612.10042
[ 051612 ] procesando parte.051612.10043
[ 051612 ] procesando parte.051612.10044
[ 051612 ] procesando parte.051612.10045
[ 051612 ] procesando parte.051612.10046
[ 051612 ] procesando parte.051612.10047
[ 051612 ] procesando parte.051612.10048
[ 051612 ] procesando parte.051612.10049
[ 051612 ] procesando parte.051612.1005
[ 051612 ] procesando parte.051612.10050
[ 051612 ] procesando parte.051612.10051
[ 051612 ] procesando parte.051612.10052
[ 051612 ] procesando parte.051612.10053
[ 051612 ] procesando parte.051612.10054
[ 051612 ] procesando parte.051612.10055
[ 051612 ] procesando parte.051612.10056
[ 051612 ] procesando parte.051612.10057
[ 051612 ] procesando parte.051612.10058
[ 051612 ] procesando parte.051612.10059
[ 051612 ] procesando parte.051612.1006
[ 051612 ] procesando parte.051612.10060
[ 051612 ] procesando parte.051612.10061
[ 051612 ] procesando parte.051612.10062
[ 051612 ] procesando parte.051612.10063
[ 051612 ] procesando parte.051612.10064
[ 051612 ] procesando parte.051612.10065
[ 051612 ] procesando parte.051612.10066
[ 051612 ] procesando parte.051612.10067
[ 051612 ] procesando parte.051612.10068
[ 051612 ] procesando parte.051612.10069
[ 051612 ] procesando parte.051612.1007
[ 051612 ] procesando parte.051612.10070
[ 051612 ] procesando parte.051612.10071
[ 051612 ] procesando parte.051612.10072
[ 051612 ] procesando parte.051612.10073
[ 051612 ] procesando parte.051612.10074
[ 051612 ] procesando parte.051612.10075
[ 051612 ] procesando parte.051612.10076
[ 051612 ] procesando parte.051612.10077
[ 051612 ] procesando parte.051612.10078
[ 051612 ] procesando parte.051612.10079
[ 051612 ] procesando parte.051612.1008
[ 051612 ] procesando parte.051612.10080
[ 051612 ] procesando parte.051612.10081
[ 051612 ] procesando parte.051612.10082
[ 051612 ] procesando parte.051612.10083
[ 051612 ] procesando parte.051612.10084
[ 051612 ] procesando parte.051612.10085
[ 051612 ] procesando parte.051612.10086
[ 051612 ] procesando parte.051612.10087
[ 051612 ] procesando parte.051612.10088
[ 051612 ] procesando parte.051612.10089
[ 051612 ] procesando parte.051612.1009
[ 051612 ] procesando parte.051612.10090
[ 051612 ] procesando parte.051612.10091
[ 051612 ] procesando parte.051612.10092
[ 051612 ] procesando parte.051612.10093
[ 051612 ] procesando parte.051612.10094
[ 051612 ] procesando parte.051612.10095
[ 051612 ] procesando parte.051612.10096
[ 051612 ] procesando parte.051612.10097
[ 051612 ] procesando parte.051612.10098
[ 051612 ] procesando parte.051612.10099
[ 051612 ] procesando parte.051612.101
[ 051612 ] procesando parte.051612.1010
[ 051612 ] procesando parte.051612.10100
[ 051612 ] procesando parte.051612.10101
[ 051612 ] procesando parte.051612.10102
[ 051612 ] procesando parte.051612.10103
[ 051612 ] procesando parte.051612.10104
[ 051612 ] procesando parte.051612.10105
[ 051612 ] procesando parte.051612.10106
[ 051612 ] procesando parte.051612.10107
[ 051612 ] procesando parte.051612.10108
[ 051612 ] procesando parte.051612.10109
[ 051612 ] procesando parte.051612.1011
[ 051612 ] procesando parte.051612.10110
Inicio programa de registro
[ 051612 ] procesando parte.051612.10110
[ 051612 ] procesando parte.051612.10111
[ 051612 ] procesando parte.051612.10112
[ 051612 ] procesando parte.051612.10113
[ 051612 ] procesando parte.051612.10114
[ 051612 ] procesando parte.051612.10115
[ 051612 ] procesando parte.051612.10116
[ 051612 ] procesando parte.051612.10117
Inicio programa de registro
[ 051612 ] procesando parte.051612.10117
[ 051612 ] procesando parte.051612.10118
[ 051612 ] procesando parte.051612.10119
[ 051612 ] procesando parte.051612.1012
[ 051612 ] procesando parte.051612.10120
[ 051612 ] procesando parte.051612.10121
[ 051612 ] procesando parte.051612.10122
[ 051612 ] procesando parte.051612.10123
[ 051612 ] procesando parte.051612.10124
[ 051612 ] procesando parte.051612.10125
[ 051612 ] procesando parte.051612.10126
[ 051612 ] procesando parte.051612.10127
[ 051612 ] procesando parte.051612.10128
[ 051612 ] procesando parte.051612.10129
[ 051612 ] procesando parte.051612.1013
[ 051612 ] procesando parte.051612.10130
[ 051612 ] procesando parte.051612.10131
[ 051612 ] procesando parte.051612.10132
[ 051612 ] procesando parte.051612.10133
[ 051612 ] procesando parte.051612.10134
[ 051612 ] procesando parte.051612.10135
[ 051612 ] procesando parte.051612.10136
[ 051612 ] procesando parte.051612.10137
[ 051612 ] procesando parte.051612.10138
[ 051612 ] procesando parte.051612.10139
[ 051612 ] procesando parte.051612.1014
[ 051612 ] procesando parte.051612.10140
[ 051612 ] procesando parte.051612.10141
[ 051612 ] procesando parte.051612.10142
[ 051612 ] procesando parte.051612.10143
[ 051612 ] procesando parte.051612.10144
[ 051612 ] procesando parte.051612.10145
[ 051612 ] procesando parte.051612.10146
[ 051612 ] procesando parte.051612.10147
[ 051612 ] procesando parte.051612.10148
[ 051612 ] procesando parte.051612.10149
[ 051612 ] procesando parte.051612.1015
[ 051612 ] procesando parte.051612.10150
[ 051612 ] procesando parte.051612.10151
[ 051612 ] procesando parte.051612.10152
[ 051612 ] procesando parte.051612.10153
[ 051612 ] procesando parte.051612.10154
[ 051612 ] procesando parte.051612.10155
[ 051612 ] procesando parte.051612.10156
[ 051612 ] procesando parte.051612.10157
[ 051612 ] procesando parte.051612.10158
[ 051612 ] procesando parte.051612.10159
[ 051612 ] procesando parte.051612.1016
[ 051612 ] procesando parte.051612.10160
[ 051612 ] procesando parte.051612.10161
[ 051612 ] procesando parte.051612.10162
[ 051612 ] procesando parte.051612.10163
[ 051612 ] procesando parte.051612.10164
[ 051612 ] procesando parte.051612.10165
[ 051612 ] procesando parte.051612.10166
[ 051612 ] procesando parte.051612.10167
[ 051612 ] procesando parte.051612.10168
[ 051612 ] procesando parte.051612.10169
[ 051612 ] procesando parte.051612.1017
[ 051612 ] procesando parte.051612.10170
[ 051612 ] procesando parte.051612.10171
[ 051612 ] procesando parte.051612.10172
[ 051612 ] procesando parte.051612.10173
[ 051612 ] procesando parte.051612.10174
[ 051612 ] procesando parte.051612.10175
[ 051612 ] procesando parte.051612.10176
[ 051612 ] procesando parte.051612.10177
[ 051612 ] procesando parte.051612.10178
[ 051612 ] procesando parte.051612.10179
[ 051612 ] procesando parte.051612.1018
[ 051612 ] procesando parte.051612.10180
[ 051612 ] procesando parte.051612.10181
[ 051612 ] procesando parte.051612.10182
[ 051612 ] procesando parte.051612.10183
[ 051612 ] procesando parte.051612.10184
[ 051612 ] procesando parte.051612.10185
Inicio programa de registro
[ 051612 ] procesando parte.051612.10185
[ 051612 ] procesando parte.051612.10186
[ 051612 ] procesando parte.051612.10187
[ 051612 ] procesando parte.051612.10188
[ 051612 ] procesando parte.051612.10189
[ 051612 ] procesando parte.051612.1019
[ 051612 ] procesando parte.051612.10190
[ 051612 ] procesando parte.051612.10191
[ 051612 ] procesando parte.051612.10192
[ 051612 ] procesando parte.051612.10193
Inicio programa de registro
[ 051612 ] procesando parte.051612.10193
[ 051612 ] procesando parte.051612.10194
[ 051612 ] procesando parte.051612.10195
[ 051612 ] procesando parte.051612.10196
[ 051612 ] procesando parte.051612.10197
[ 051612 ] procesando parte.051612.10198
[ 051612 ] procesando parte.051612.10199
[ 051612 ] procesando parte.051612.102
[ 051612 ] procesando parte.051612.1020
[ 051612 ] procesando parte.051612.10200
[ 051612 ] procesando parte.051612.10201
[ 051612 ] procesando parte.051612.10202
[ 051612 ] procesando parte.051612.10203
[ 051612 ] procesando parte.051612.10204
[ 051612 ] procesando parte.051612.10205
[ 051612 ] procesando parte.051612.10206
[ 051612 ] procesando parte.051612.10207
[ 051612 ] procesando parte.051612.10208
[ 051612 ] procesando parte.051612.10209
[ 051612 ] procesando parte.051612.1021
[ 051612 ] procesando parte.051612.10210
[ 051612 ] procesando parte.051612.10211
[ 051612 ] procesando parte.051612.10212
