isbn13	titulo	link_detalle	link_imagen	materia	autor	editorial	fecha_pub	id_coleccion	autor_principal	link_indice	link_resenya	precio	tipo_iva	paginas
9788498766592	Los Guardias Civiles en la prensa española durante la Democracia (1978-2008)	http://www.tirant.com/detalle?articulo=9788498766592	http://www.tirant.com/portadas/9788498766592.jpg	0100000000|0102000000|0102110000|0100000000|0111000000|0111030000|0100000000|0117000000|0117010000|	|Carlos A. Capa Gil |Manuel del Álamo Andrés |Luis Miguel Torres Chico	Tirant lo Blanch	11/2009	2584	Carlos A. Capa Gil	http://www.tirant.com/indexes/9788498766592.txt	http://www.tirant.com/resenyas/9788498766592-resenya.txt	10.00	3	134
9788498768824	Contestaciones al programa de Derecho Constitucional para acceso a las carreras Judicial y Fiscal	http://www.tirant.com/detalle?articulo=9788498768824	http://www.tirant.com/portadas/9788498768824.jpg	0100000000|0113000000|0113010000|	|J. Agustín Amorós Martínez |Javier Roda Alcayde |Manuel Sarrión Sierra	Tirant lo Blanch	09/2010	52	J. Agustín Amorós Martínez	http://www.tirant.com/indexes/9788498768824.txt	http://www.tirant.com/resenyas/9788498768824-resenya.txt	45.00	3	540
E000000000944	Prosopopeya nº6 2008-2009 Literatura comparada , poscolonialismo y traducción	http://www.tirant.com/detalle?articulo=E000000000944	http://www.tirant.com/portadas/E000000000944.jpg	0300000000|0311000000|0311010000|	|Manuel Asensi Pérez |Beatriz Ferrús Antón	Tirant lo Blanch	06/2010	2900	Manuel Asensi Pérez	http://www.tirant.com/indexes/E000000000944.txt	http://www.tirant.com/resenyas/E000000000944-resenya.txt	13.00	3	266
9788484562313	Ocupación , conservación y destrucción de las piezas de convicción	http://www.tirant.com/detalle?articulo=9788484562313	http://www.tirant.com/portadas/9788484562313.jpg	0100000000|0105000000|0105010000|	|Luis Alfredo de Diego Díez	Tirant lo Blanch	02/2005	62	Luis Alfredo de Diego Díez	http://www.tirant.com/indexes/9788484562313.txt	http://www.tirant.com/resenyas/9788484562313-resenya.txt	10.00	3	164
9788498765793	Las víctimas ante los tribunales penales internacionales ad hoc	http://www.tirant.com/detalle?articulo=9788498765793	http://www.tirant.com/portadas/9788498765793.jpg	0100000000|0103000000|0103050000|0103050100|0100000000|0117000000|0117010000|	|Juana del Carpio Delgado	Tirant lo Blanch	09/2009	39	Juana del Carpio Delgado	http://www.tirant.com/indexes/9788498765793.txt	http://www.tirant.com/resenyas/9788498765793-resenya.txt	15.00	3	334
9788498769043	La reforma laboral en el Real Decreto-Ley 10/2010	http://www.tirant.com/detalle?articulo=9788498769043	http://www.tirant.com/portadas/9788498769043.jpg	0100000000|0104000000|0104010000|	|Carlos l. Alfonso Mellado |Ángel Blasco Pellicer |Luis Miguel Camps Ruiz |José María Goerlich Peset	Tirant lo Blanch	07/2010	41	Carlos l. Alfonso Mellado	http://www.tirant.com/indexes/9788498769043.txt	http://www.tirant.com/resenyas/9788498769043-resenya.txt	10.50	3	241
9788484569176	Ejercicios y Esquemas de Dinero y Banca	http://www.tirant.com/detalle?articulo=9788484569176	http://www.tirant.com/portadas/9788484569176.jpg	0200000000|0201000000|0201010000|0200000000|0215000000|	|José Luis Calvo González |José Antonio Martínez Álvarez |Rubén Hitos Santos	Tirant lo Blanch	09/2007	2654	José Luis Calvo González	http://www.tirant.com/indexes/9788484569176.txt	http://www.tirant.com/resenyas/9788484569176-resenya.txt	6.00	3	110
9788498768299	Los efectos de la declaración de concurso en los contratos bilaterales	http://www.tirant.com/detalle?articulo=9788498768299	http://www.tirant.com/portadas/9788498768299.jpg	0100000000|0101000000|0101280000|0100000000|0117000000|0117010000|	|Ana Moreno Sánchez-Moraleda	Tirant lo Blanch	05/2010	2708	Ana Moreno Sánchez-Moraleda	http://www.tirant.com/indexes/9788498768299.txt	http://www.tirant.com/resenyas/9788498768299-resenya.txt	20.50	3	508
9788498766530	Ley de Sociedades Anónimas y Ley de Sociedades de Responsabilidad Limitada	http://www.tirant.com/detalle?articulo=9788498766530	http://www.tirant.com/portadas/9788498766530.jpg	0100000000|0101000000|0101040000|0100000000|0117000000|0117010000|	|Javier Megías López	Tirant lo Blanch	10/2009	37	Javier Megías López	http://www.tirant.com/indexes/9788498766530.txt	http://www.tirant.com/resenyas/9788498766530-resenya.txt	11.00	3	556
9788484568803	Politica criminal y reformas penales	http://www.tirant.com/detalle?articulo=9788484568803	http://www.tirant.com/portadas/9788484568803.jpg	0100000000|0103000000|0103060000|0103060100|0100000000|0117000000|0117010000|	|Patricia Faraldo Cabana |Luz María Puente Aba |José Antonio Ramos Vázquez |y otros	Tirant lo Blanch	09/2007	39	Patricia Faraldo Cabana	http://www.tirant.com/indexes/9788484568803.txt	http://www.tirant.com/resenyas/9788484568803-resenya.txt	19.00	3	438
9788484565918	Pensamiento Romano	http://www.tirant.com/detalle?articulo=9788484565918	http://www.tirant.com/portadas/9788484565918.jpg	0300000000|0304000000|0304030000|0300000000|0306000000|0306060000|	|Salvador Mas	Tirant lo Blanch	09/2006	2633	Salvador Mas	http://www.tirant.com/indexes/9788484565918.txt	http://www.tirant.com/resenyas/9788484565918-resenya.txt	15.00	3	725
9788490041185	Protección de las personas en situación de desempleo	http://www.tirant.com/detalle?articulo=9788490041185	http://www.tirant.com/portadas/9788490041185.jpg	0100000000|0104000000|0104100000|0100000000|0117000000|0117010000|	|José Francisco Blasco Lahoz	Tirant lo Blanch	05/2011	44	José Francisco Blasco Lahoz	http://www.tirant.com/indexes/9788490041185.txt	http://www.tirant.com/resenyas/9788490041185-resenya.txt	45.00	3	701
9788484427377	Tráfico de personas e inmigración ilegal	http://www.tirant.com/detalle?articulo=9788484427377	http://www.tirant.com/portadas/9788484427377.jpg	0100000000|0102000000|0102200000|0100000000|0103000000|0103060000|0103060200|0100000000|0117000000|0117010000|	|Francisco Javier de León Villalba	Tirant lo Blanch	2003	39	Francisco Javier de León Villalba	http://www.tirant.com/indexes/9788484427377.txt	http://www.tirant.com/resenyas/9788484427377-resenya.txt	25.00	3	454
9788484563785	El Principio Democrático de Autoimposición en la Producción Normativa de la Unión Europea	http://www.tirant.com/detalle?articulo=9788484563785	http://www.tirant.com/portadas/9788484563785.jpg	0100000000|0106000000|0106010000|	|Francisco M. Carrasco González	Tirant lo Blanch	11/2005	43	Francisco M. Carrasco González	http://www.tirant.com/indexes/9788484563785.txt	http://www.tirant.com/resenyas/9788484563785-resenya.txt	11.00	3	269
9788484564805	La protección judicial de los derechos fundamentales en Brasil, Colombia y España	http://www.tirant.com/detalle?articulo=9788484564805	http://www.tirant.com/portadas/9788484564805.jpg	0100000000|0107000000|0107070000|	|Emilio Pajares Montolío	Tirant lo Blanch	11/2005	1929	Emilio Pajares Montolío	http://www.tirant.com/indexes/9788484564805.txt	http://www.tirant.com/resenyas/9788484564805-resenya.txt	10.00	3	211
9788498762105	La ONU y el mantenimiento de la paz en el siglo XXI	http://www.tirant.com/detalle?articulo=9788498762105	http://www.tirant.com/portadas/9788498762105.jpg	0100000000|0111000000|0111040000|0100000000|0117000000|0117010000|	|Jorge Cardona Llorens	Tirant lo Blanch	09/2008	39	Jorge Cardona Llorens	http://www.tirant.com/indexes/9788498762105.txt	http://www.tirant.com/resenyas/9788498762105-resenya.txt	27.00	3	494
9788490043141	Derecho del Trabajo	http://www.tirant.com/detalle?articulo=9788490043141	http://www.tirant.com/portadas/9788490043141.jpg	0100000000|0104000000|0104010000|	|Luis Miguel Camps Ruiz |Juan Manuel Ramírez Martínez |Carlos l. Alfonso Mellado |María Amparo Ballester Pastor |Ángel Blasco Pellicer |Jesús García Ortega |José María Goerlich Peset |Juan López Gandía |Francisco Pérez de los Cobos Orihuel |Remedios Roquet	Tirant lo Blanch	09/2011	2645	Luis Miguel Camps Ruiz	http://www.tirant.com/indexes/9788490043141.txt	http://www.tirant.com/resenyas/9788490043141-resenya.txt	30.00	3	756
9788490043349	Derecho Procesal Civil Parte General	http://www.tirant.com/detalle?articulo=9788490043349	http://www.tirant.com/portadas/9788490043349.jpg	0100000000|0105000000|0105010000|	|Valentín Cortés Domínguez |Victor Moreno Catena	Tirant lo Blanch	09/2011	2649	Valentín Cortés Domínguez	http://www.tirant.com/indexes/9788490043349.txt	http://www.tirant.com/resenyas/9788490043349-resenya.txt	27.00	3	452
9788498767452	Normativa y Jurisprudencia básica del Derecho de la Unión Europea	http://www.tirant.com/detalle?articulo=9788498767452	http://www.tirant.com/portadas/9788498767452.jpg	0100000000|0109000000|0109030000|0100000000|0117000000|0117010000|	|Valentín Bou Franch |María Cervera Vallterra	Tirant lo Blanch	02/2010	2651	Valentín Bou Franch	http://www.tirant.com/indexes/9788498767452.txt	http://www.tirant.com/resenyas/9788498767452-resenya.txt	21.00	3	694
9788498767490	Mujer , derecho y sociedad en el siglo XXI	http://www.tirant.com/detalle?articulo=9788498767490	http://www.tirant.com/portadas/9788498767490.jpg	0100000000|0107000000|0107020000|0100000000|0117000000|0117010000|	|Ruth María Abril Stoffels |Ainhoa Uribe Otalora |y otros	Tirant lo Blanch	02/2010	39	Ruth María Abril Stoffels	http://www.tirant.com/indexes/9788498767490.txt	http://www.tirant.com/resenyas/9788498767490-resenya.txt	17.00	3	368
9788484568544	Cine , imaginario y turismo	http://www.tirant.com/detalle?articulo=9788484568544	http://www.tirant.com/portadas/9788484568544.jpg	0200000000|0201000000|0201090000|0200000000|0215000000|0300000000|0310000000|0310020000|0300000000|0319000000|	|Antonia del Rey Reguillo |Eugenia Afinoguénova |Justin Crumbaugh |Annabel Martín |Rosa Mestre Pérez |Santiago Renard Álvarez |Begoña Soto Vázquez |Konstantin Stanishevski Kushneriov	Tirant lo Blanch	10/2007	2900	Antonia del Rey Reguillo	http://www.tirant.com/indexes/9788484568544.txt	http://www.tirant.com/resenyas/9788484568544-resenya.txt	11.00	3	269
9788498769128	La protección social de los extranjeros en España	http://www.tirant.com/detalle?articulo=9788498769128	http://www.tirant.com/portadas/9788498769128.jpg	0100000000|0104000000|0104100000|0100000000|0117000000|0117010000|	|Santiago González Ortega |Manuel Ramón Alarcón Caracuel |Susana Barcelón Cobedo |Cristina Blasco Rasero |Carmen Carrero Domínguez |Esther Carrizosa Prieto |Fernando Elorza Guerrero |Manuel García Muñoz |David Lantarón Barquín |Marta Navas-Parejo Alonso |M	Tirant lo Blanch	09/2010	39	Santiago González Ortega	http://www.tirant.com/indexes/9788498769128.txt	http://www.tirant.com/resenyas/9788498769128-resenya.txt	25.00	3	518
9788498767674	Victimología forense y Derecho penal	http://www.tirant.com/detalle?articulo=9788498767674	http://www.tirant.com/portadas/9788498767674.jpg	0100000000|0112000000|0112010000|0100000000|0117000000|0117010000|	|Pedro Ángel Rubio Lara |Eduardo Osuna Carrillo de Albornoz |Faustina Sánchez Rodríguez |Carmen Torres Sánchez |Juan Pedro Hernández del Rincón |María José Catalán Frías |A. Luna Maldonado |Alfonso Carlos Aliaga Casanova |Juan José Díaz Jiménez	Tirant lo Blanch	04/2010	54	Pedro Ángel Rubio Lara	http://www.tirant.com/indexes/9788498767674.txt	http://www.tirant.com/resenyas/9788498767674-resenya.txt	17.50	3	396
9788499850641	Legislació catalana sobre dret de família	http://www.tirant.com/detalle?articulo=9788499850641	http://www.tirant.com/portadas/9788499850641.jpg	0100000000|0101000000|0101040000|0100000000|0117000000|0117010000|	|José Antonio García González	Tirant lo Blanch	02/2011	37	José Antonio García González	http://www.tirant.com/indexes/9788499850641.txt	http://www.tirant.com/resenyas/9788499850641-resenya.txt	59.00	3	950
9788490043004	Derecho Jurisdiccional II Proceso civil	http://www.tirant.com/detalle?articulo=9788490043004	http://www.tirant.com/portadas/9788490043004.jpg	0100000000|0105000000|0105010000|	|Juan Montero Aroca |Juan Luis Gómez Colomer |Alberto Montón Redondo |Silvia Barona Vilar	Tirant lo Blanch	09/2011	2649	Juan Montero Aroca	http://www.tirant.com/indexes/9788490043004.txt	http://www.tirant.com/resenyas/9788490043004-resenya.txt	27.00	3	934
