Inicio programa de registro
[ 041212 ] procesando parte.041112.00
[ 041212 ] procesando parte.041112.01
[ 041212 ] procesando parte.041112.02
[ 041212 ] procesando parte.041112.03
[ 041212 ] procesando parte.041112.04
[ 041212 ] procesando parte.041112.05
[ 041212 ] procesando parte.041112.06
[ 041212 ] procesando parte.041112.07
[ 041212 ] procesando parte.041112.08
[ 041212 ] procesando parte.041112.09
[ 041212 ] procesando parte.041112.10
[ 041212 ] procesando parte.041112.100
[ 041212 ] procesando parte.041112.1000
[ 041212 ] procesando parte.041112.1001
[ 041212 ] procesando parte.041112.1002
[ 041212 ] procesando parte.041112.1003
[ 041212 ] procesando parte.041112.1004
[ 041212 ] procesando parte.041112.1005
[ 041212 ] procesando parte.041112.1006
[ 041212 ] procesando parte.041112.1007
[ 041212 ] procesando parte.041112.1008
[ 041212 ] procesando parte.041112.1009
[ 041212 ] procesando parte.041112.101
[ 041212 ] procesando parte.041112.1010
[ 041212 ] procesando parte.041112.1011
[ 041212 ] procesando parte.041112.1012
[ 041212 ] procesando parte.041112.1013
[ 041212 ] procesando parte.041112.1014
[ 041212 ] procesando parte.041112.1015
[ 041212 ] procesando parte.041112.1016
[ 041212 ] procesando parte.041112.1017
[ 041212 ] procesando parte.041112.1018
[ 041212 ] procesando parte.041112.1019
[ 041212 ] procesando parte.041112.102
[ 041212 ] procesando parte.041112.1020
[ 041212 ] procesando parte.041112.1021
[ 041212 ] procesando parte.041112.1022
[ 041212 ] procesando parte.041112.1023
Inicio programa de registro
[ 041212 ] procesando parte.041112.1023
[ 041212 ] procesando parte.041112.1024
[ 041212 ] procesando parte.041112.1025
[ 041212 ] procesando parte.041112.1026
[ 041212 ] procesando parte.041112.1027
[ 041212 ] procesando parte.041112.1028
[ 041212 ] procesando parte.041112.1029
[ 041212 ] procesando parte.041112.103
[ 041212 ] procesando parte.041112.1030
[ 041212 ] procesando parte.041112.1031
[ 041212 ] procesando parte.041112.1032
[ 041212 ] procesando parte.041112.1033
[ 041212 ] procesando parte.041112.1034
[ 041212 ] procesando parte.041112.1035
[ 041212 ] procesando parte.041112.1036
[ 041212 ] procesando parte.041112.1037
[ 041212 ] procesando parte.041112.1038
[ 041212 ] procesando parte.041112.1039
[ 041212 ] procesando parte.041112.104
[ 041212 ] procesando parte.041112.1040
[ 041212 ] procesando parte.041112.1041
[ 041212 ] procesando parte.041112.1042
[ 041212 ] procesando parte.041112.1043
[ 041212 ] procesando parte.041112.1044
[ 041212 ] procesando parte.041112.1045
[ 041212 ] procesando parte.041112.1046
[ 041212 ] procesando parte.041112.1047
[ 041212 ] procesando parte.041112.1048
[ 041212 ] procesando parte.041112.1049
[ 041212 ] procesando parte.041112.105
[ 041212 ] procesando parte.041112.1050
[ 041212 ] procesando parte.041112.1051
[ 041212 ] procesando parte.041112.1052
[ 041212 ] procesando parte.041112.1053
[ 041212 ] procesando parte.041112.1054
[ 041212 ] procesando parte.041112.1055
[ 041212 ] procesando parte.041112.1056
[ 041212 ] procesando parte.041112.1057
Inicio programa de registro
[ 041212 ] procesando parte.041112.1057
[ 041212 ] procesando parte.041112.1058
[ 041212 ] procesando parte.041112.1059
[ 041212 ] procesando parte.041112.106
[ 041212 ] procesando parte.041112.1060
[ 041212 ] procesando parte.041112.1061
[ 041212 ] procesando parte.041112.1062
[ 041212 ] procesando parte.041112.1063
[ 041212 ] procesando parte.041112.1064
[ 041212 ] procesando parte.041112.1065
[ 041212 ] procesando parte.041112.1066
[ 041212 ] procesando parte.041112.1067
[ 041212 ] procesando parte.041112.1068
[ 041212 ] procesando parte.041112.1069
[ 041212 ] procesando parte.041112.107
[ 041212 ] procesando parte.041112.1070
[ 041212 ] procesando parte.041112.1071
[ 041212 ] procesando parte.041112.1072
[ 041212 ] procesando parte.041112.1073
[ 041212 ] procesando parte.041112.1074
[ 041212 ] procesando parte.041112.1075
[ 041212 ] procesando parte.041112.1076
[ 041212 ] procesando parte.041112.1077
[ 041212 ] procesando parte.041112.1078
[ 041212 ] procesando parte.041112.1079
[ 041212 ] procesando parte.041112.108
[ 041212 ] procesando parte.041112.1080
[ 041212 ] procesando parte.041112.1081
[ 041212 ] procesando parte.041112.1082
[ 041212 ] procesando parte.041112.1083
[ 041212 ] procesando parte.041112.1084
[ 041212 ] procesando parte.041112.1085
[ 041212 ] procesando parte.041112.1086
[ 041212 ] procesando parte.041112.1087
[ 041212 ] procesando parte.041112.1088
[ 041212 ] procesando parte.041112.1089
[ 041212 ] procesando parte.041112.109
[ 041212 ] procesando parte.041112.1090
[ 041212 ] procesando parte.041112.1091
[ 041212 ] procesando parte.041112.1092
[ 041212 ] procesando parte.041112.1093
[ 041212 ] procesando parte.041112.1094
[ 041212 ] procesando parte.041112.1095
[ 041212 ] procesando parte.041112.1096
[ 041212 ] procesando parte.041112.1097
[ 041212 ] procesando parte.041112.1098
[ 041212 ] procesando parte.041112.1099
[ 041212 ] procesando parte.041112.11
Inicio programa de registro
[ 041212 ] procesando parte.041112.11
[ 041212 ] procesando parte.041112.110
[ 041212 ] procesando parte.041112.1100
[ 041212 ] procesando parte.041112.1101
[ 041212 ] procesando parte.041112.1102
[ 041212 ] procesando parte.041112.1103
[ 041212 ] procesando parte.041112.1104
[ 041212 ] procesando parte.041112.1105
[ 041212 ] procesando parte.041112.1106
[ 041212 ] procesando parte.041112.1107
[ 041212 ] procesando parte.041112.1108
[ 041212 ] procesando parte.041112.1109
[ 041212 ] procesando parte.041112.111
[ 041212 ] procesando parte.041112.1110
[ 041212 ] procesando parte.041112.1111
[ 041212 ] procesando parte.041112.1112
[ 041212 ] procesando parte.041112.1113
[ 041212 ] procesando parte.041112.1114
[ 041212 ] procesando parte.041112.1115
Inicio programa de registro
[ 041212 ] procesando parte.041112.1115
[ 041212 ] procesando parte.041112.1116
[ 041212 ] procesando parte.041112.1117
[ 041212 ] procesando parte.041112.1118
[ 041212 ] procesando parte.041112.1119
[ 041212 ] procesando parte.041112.112
[ 041212 ] procesando parte.041112.1120
[ 041212 ] procesando parte.041112.1121
[ 041212 ] procesando parte.041112.1122
[ 041212 ] procesando parte.041112.1123
[ 041212 ] procesando parte.041112.1124
[ 041212 ] procesando parte.041112.1125
[ 041212 ] procesando parte.041112.1126
[ 041212 ] procesando parte.041112.1127
[ 041212 ] procesando parte.041112.1128
